Node,avgmemoryutilization_pct,avgsmutilization_pct,energyconsumed_joules,gpu_id,maxgpumemoryused_bytes,memoryutilization_pct_avg,memoryutilization_pct_max,memoryutilization_pct_min,pcierxbandwidth_megabytes_avg,pcierxbandwidth_megabytes_max,pcierxbandwidth_megabytes_min,pcietxbandwidth_megabytes_avg,pcietxbandwidth_megabytes_max,pcietxbandwidth_megabytes_min,powerusage_watts_avg,powerusage_watts_max,powerusage_watts_min,smutilization_pct_avg,smutilization_pct_max,smutilization_pct_min,totalexecutiontime_sec,id_job
r9170217-n750018,0.0,1.0,157521.0,0,2645557248.0,3.0,24.0,0.0,1646.0,1748.0,1613.0,971.0,1530.0,676.0,44.0546,156.962,25.468,11.0,64.0,0.0,4452.47,4393785332
r44132-n469339,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,18177101425
r5354770-n172107,0.0,3.0,94816.0,0,29171712.0,0.0,0.0,0.0,1846.0,1849.0,1838.0,1785.0,1872.0,1346.0,26.3725,27.483,25.979,6.0,43.0,0.0,8398.3,39529488078
r1900814-n772143,0.0,0.0,69451.0,0,1527586816.0,0.0,1.0,0.0,539.0,542.0,536.0,314.0,337.0,293.0,37.5481,52.039,26.676,1.0,25.0,0.0,1851.72,19994333952
r9515777-n469339,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1991.0,1991.0,1991.0,1109.0,1109.0,1109.0,25.032,25.032,25.032,0.0,0.0,0.0,0.99,397881706
r8532701-n750018,0.0,0.0,22587.0,0,0.0,0.0,0.0,0.0,1740.0,1740.0,1739.0,1722.0,1722.0,1721.0,27.622,27.821,27.532,0.0,0.0,0.0,819.64,56459319806
r7317916-n303509,0.0,3.0,196461.0,1,1143996416.0,4.0,5.0,0.0,955.0,1683.0,206.0,1087.0,2147.0,0.0,54.6094,61.091,38.101,88.0,97.0,0.0,74636.6,13878440310
r8972851-n948219,0.0,2.0,46532.0,1,2645557248.0,1.0,14.0,0.0,199.0,205.0,191.0,1674.0,1701.0,1649.0,38.6441,126.934,24.203,3.0,39.0,0.0,1200.81,32478933276
r6959555-n172107,0.0,0.0,6706.0,0,1253048320.0,0.0,0.0,0.0,2130.0,2131.0,2129.0,1991.0,2015.0,1968.0,26.1606,36.257,25.42,4.0,9.0,0.0,257.37,31130163482
r9515777-n303766,0.0,0.0,90161.0,0,6889472.0,0.0,0.0,0.0,1695.0,1697.0,1693.0,1361.0,1362.0,1359.0,25.0819,25.412,24.761,0.0,0.0,0.0,34740.8,14306435439
r7269000-n303509,0.0,9.0,11385.0,1,1366294528.0,0.0,3.0,0.0,1105.0,1108.0,1101.0,210.0,210.0,209.0,40.1786,51.193,26.256,9.0,32.0,0.0,284.02,7641411333
r8473362-n303766,0.0,9.0,197442.0,0,1143996416.0,4.0,5.0,0.0,1004.0,2147.0,0.0,700.0,2147.0,0.0,54.8724,60.57,37.849,93.0,99.0,0.0,68662.4,41584639356
r5198790-n172107,0.0,0.0,36302.0,1,0.0,0.0,0.0,0.0,1069.0,1069.0,1068.0,1311.0,1311.0,1310.0,25.527,25.697,25.392,0.0,0.0,0.0,1424.6,34850826363
r4099734-n750018,0.0,0.0,7075.0,1,0.0,0.0,0.0,0.0,31.0,31.0,31.0,1486.0,1487.0,1486.0,23.8464,23.964,23.753,0.0,0.0,0.0,298.18,51916549454
r7141590-n948219,0.0,0.0,6992.0,0,1055916032.0,0.0,0.0,0.0,1931.0,1932.0,1930.0,1829.0,1850.0,1802.0,27.2866,41.168,26.229,4.0,10.0,0.0,257.06,33697999212
r44132-n469339,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,55294358298
r8275852-n410412,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,404.0,404.0,404.0,27.449,27.449,27.449,0.0,0.0,0.0,1.07,53403326389
r8532701-n750018,0.0,0.0,686.0,0,0.0,0.0,0.0,0.0,1838.0,1838.0,1838.0,1801.0,1801.0,1801.0,27.4212,27.454,27.346,0.0,0.0,0.0,26.0,7228147637
r8972851-n948219,0.0,0.0,141189.0,1,2658140160.0,1.0,14.0,0.0,172.0,191.0,152.0,1566.0,1649.0,1478.0,39.1102,128.177,36.453,3.0,39.0,0.0,24430.8,17697620496
r4144777-n303509,0.0,0.0,3156.0,1,1135607808.0,0.0,5.0,0.0,1700.0,1713.0,1686.0,1336.0,1338.0,1334.0,39.9009,48.445,27.167,11.0,96.0,0.0,80.17,17780987506
r3974592-n772143,0.0,0.0,303.0,1,0.0,0.0,0.0,0.0,102.0,102.0,102.0,1862.0,1862.0,1862.0,27.5371,27.639,27.49,0.0,0.0,0.0,12.32,49127934589
r6727430-n750018,0.0,0.0,92380.0,1,0.0,0.0,0.0,0.0,438.0,440.0,436.0,1286.0,1288.0,1284.0,25.6923,26.082,25.386,0.0,0.0,0.0,3706.21,29809496593
r1900814-n750018,0.0,0.0,91499.0,0,0.0,0.0,0.0,0.0,1454.0,1456.0,1452.0,660.0,662.0,659.0,25.4521,25.611,25.298,0.0,0.0,0.0,86749.1,7490639208
r414303-n772143,0.0,0.0,68099.0,0,1527586816.0,0.0,1.0,0.0,1930.0,1933.0,1927.0,1746.0,1769.0,1725.0,36.8209,50.128,28.208,1.0,10.0,0.0,1851.77,2311219662
r4099734-n172107,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1212.0,1212.0,1212.0,1023.0,1023.0,1023.0,26.295,26.357,26.233,0.0,0.0,0.0,1.64,53504729747
r3974592-n750018,0.0,0.0,95793.0,0,6889472.0,0.0,0.0,0.0,669.0,671.0,667.0,1283.0,1285.0,1281.0,26.6449,27.034,26.21,0.0,0.0,0.0,15078.0,27380230765
r6727430-n750018,0.0,0.0,192.0,0,0.0,0.0,0.0,0.0,2053.0,2053.0,2053.0,1432.0,1432.0,1432.0,27.387,27.488,27.313,0.0,0.0,0.0,7.9,62476106594
r1900814-n772143,0.0,0.0,555.0,0,0.0,0.0,0.0,0.0,682.0,682.0,682.0,1035.0,1035.0,1035.0,26.3967,26.534,26.334,0.0,0.0,0.0,22.22,7326403924
r5354770-n172107,0.0,0.0,483538.0,0,2658140160.0,32.0,38.0,0.0,1434.0,2147.0,0.0,1312.0,2147.0,0.0,134.787,161.908,41.649,89.0,100.0,0.0,50715.1,29891429222
